shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
7218f1c2-a821-475e-840c-a049d1a625b1,40.4460969833193,-86.9435153569886,62,4177.07
7218f1c2-a821-475e-840c-a049d1a625b1,40.420926369817,-86.9015461564488,128,9576.19
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.4218860222033,-86.8904746705576,84,13136.33
7218f1c2-a821-475e-840c-a049d1a625b1,40.4362860015365,-86.9362208807744,81,5561.3
0e410d81-233b-4f4e-b644-b926ae73d696,40.4336397119753,-86.9269912608848,33,3148.22
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.4055255167203,-86.8345180952944,38,4038.88
3081f37d-fdeb-4b5a-8813-07fa7cc93ba2,40.4344123867286,-86.9256263804809,4,118.59
56fdf086-7941-45a1-afb3-b928148109a2,40.4603006220043,-86.9245414092864,44,4940.43
70814020-a9b7-44ef-a20e-fb5aff6b77a5,40.4423566426251,-86.9421648646691,38,2546.02
7e415f9d-0dfe-4239-b4f5-b467213b6c43,40.401044,-86.804833,0,0
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4690828785937,-86.9439723909062,53,8117.51
d1a4f0a7-715f-4996-8eb3-283cae447608,40.423931,-86.911286,49,6928.5
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.4288061218742,-86.8448221292986,74,7762.29
3081f37d-fdeb-4b5a-8813-07fa7cc93ba2,40.4334303534347,-86.9247422835937,15,525.7
bc162fca-a6bc-4e4e-99d8-3f4648da05ea,40.3835670711796,-86.8947052579965,39,4909.94
c5e3979b-c192-42fb-860c-c4c246c5eec0,40.40629,-86.85038,25,6444.37
7261420d-8225-42cc-8837-046368279776,40.4196986806213,-86.9007140040823,50,9649.07
716a1134-702e-43b2-8984-fd6f12a926a3,40.426621,-86.908275,33,6995.83
a0020965-2b60-4e70-a047-a1b071f6ff20,40.4341483093786,-86.9262727124599,3,177.5
56fdf086-7941-45a1-afb3-b928148109a2,40.4661052783134,-86.9284045764128,64,5870.94
aacfedab-6f68-4a78-8641-b932f17dbff6,40.431335445126,-86.9141398021066,8,1803.68
de154292-7fe9-40e4-9e11-8776303bf1c6,40.4177943121072,-86.8338532348784,12,1995.27
f8091890-6a74-4783-b6f3-0328c8090a51,40.4500263851457,-86.9470016367847,39,6617.95
7218f1c2-a821-475e-840c-a049d1a625b1,40.4214798578647,-86.9029580807039,125,9441.71
b8c15b96-4ecb-4c22-87aa-527ace63b880,40.3918664676774,-86.8711458121682,45,6226.99
56fdf086-7941-45a1-afb3-b928148109a2,40.4612233019604,-86.9244488730698,53,5053.92
0b4c0e9d-9ceb-4424-84ef-0c222182a7ed,40.4167594524439,-86.9303810719018,2,69.76
106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,40.4172645757952,-86.8894339733978,5,802.4
a0020965-2b60-4e70-a047-a1b071f6ff20,40.4344240089908,-86.9257041469636,2,120.48
12f97034-fc21-44ef-b9d2-1b478749ee65,40.4454183843981,-86.9441094663208,70,2204.26
5001d1c6-c1ea-4d03-b8eb-45705b3c0f70,40.4203152327643,-86.9222430212155,37,2818.17
6c20d044-6cfd-4f7b-af03-b2fd1fb8325b,40.4276407019878,-86.9067838434448,13,2552.92
5001d1c6-c1ea-4d03-b8eb-45705b3c0f70,40.4207908893266,-86.9228674237184,34,2737.5
6c20d044-6cfd-4f7b-af03-b2fd1fb8325b,40.4418362940452,-86.9107830173244,30,5998.22
db416ff3-0f30-49ce-a448-0bba8f984215,40.4348249992624,-86.862778178619,5,1019.55
c5ec81b9-e850-475e-af29-7b3b1d08551d,40.427241,-86.901458,60,7130.75
7218f1c2-a821-475e-840c-a049d1a625b1,40.431216886889,-86.9326920501694,84,6199.31
f8091890-6a74-4783-b6f3-0328c8090a51,40.420495,-86.915845,12,1222.25
132fa334-e471-472b-921c-7d18439221cb,40.4207112145848,-86.8948077794795,27,5594.52
77ef10ae-585a-4bc9-adff-fc125f0932d2,40.4249135995746,-86.854746158683,33,4568.35
56fdf086-7941-45a1-afb3-b928148109a2,40.4659026054897,-86.9277183134367,61,5790.37
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.3925099821843,-86.9034081390159,79,8960.74
f71ad2a5-ff13-4379-adc1-e257c3e59f53,40.3999401867354,-86.8936892982536,13,2532.93
