month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
nov2024,Others,Others,N/A,N/A,N/A,,N/A,,N/A
nov2024,,,,,,,-6.59%,29.79,-10.64%
nov2024,13C,Silver Loop,31667,3008.76,397.34,10.52,15.21%,79.7,23.93%
nov2024,14C,Black Loop,650,851.12,80.94,0.76,-35.89%,8.03,-23.53%
nov2024,15C,Tower Acres,22597,2933.47,387.1,7.7,27.67%,58.38,21.91%
nov2024,16C,Bronze Loop,3925,2960.41,347.24,1.33,N/A,11.3,N/A
nov2024,,,,9753.76,1212.62,6.03,3.40%,48.52,7.83%
nov2024,21E,Lark & Alight Express,21566,5595.0,414.41,3.85,14.60%,52.04,12.53%
nov2024,24E,Redpoint Express,7940,3731.81,204.25,2.13,22.42%,38.87,21.96%
nov2024,35E,Lindberg Express,27800,6616.0,546.82,4.2,0.18%,50.84,-0.93%
nov2024,,,,15942.81,1165.48,3.59,7.81%,49.17,6.59%
nov2024,DR,Microtransit,121,663,105,0.18,N/A,1.15,N/A
nov2024,DR,Paratransit,2948,14418,1128,0.2,N/A,2.61,N/A
nov2024,Demand Response Total:,,29481441811280.2,,,,1.61%,2.61,-0.95%
nov2024,VP,Vanpool,,,,,,,
nov2024,Vanpool Total:,,,,,,,,
nov2024,,,,,,,,,
nov2024,,Grand Total:,3.619951462331166e+17,,,,-6.64%,31.05,-5.03%
dec2024,1A,Market Square,19341,12675.96,1010.25,1.53,18.78%,19.14,11.65%
dec2024,1B,Salisbury,21330,9203.88,771.26,2.32,-14.20%,27.66,-14.21%
dec2024,2A,Schuyler Ave,3308,2775.56,223.97,1.19,-8.28%,14.77,-9.91%
dec2024,2B,Union St,4323,2973.51,243.49,1.45,-5.77%,17.75,1.64%
dec2024,3,Lafayette Square,9706,9943.49,697.45,0.98,4.56%,13.92,2.96%
dec2024,4A,Tippecanoe Mall,9305,5953.79,509.92,1.56,-12.46%,18.25,-3.03%
dec2024,4B,Purdue West,30223,10829.49,816.81,2.79,-23.76%,37.0,-24.68%
dec2024,5,Happy Hollow,9995,4880.47,364.24,2.05,20.18%,27.44,6.66%
dec2024,6A,Fourth St,13041,10691.53,673.23,1.22,7.38%,19.37,7.22%
dec2024,6B,South 9th,3798,4150.93,299.72,0.91,14.71%,12.67,11.71%
dec2024,7,South St,14328,8676.59,724.85,1.65,-3.10%,19.77,-3.71%
dec2024,8,Sagamore West,8681,7017.35,455.96,1.24,-26.87%,19.04,-24.58%
dec2024,9,Park East,1490,4191.36,279.09,0.36,-21.54%,5.34,-19.54%
dec2024,10,Northwestern,13532,5382.44,442.65,2.51,4.76%,30.57,7.20%
dec2024,23,Connector,13028,6593.69,543.05,1.98,13.69%,23.99,15.16%
dec2024,Others,Others,N/A,N/A,N/A,,N/A,,N/A
dec2024,,,,,,,-5.07%,21.78,-5.35%
dec2024,13C,Silver Loop,16265,1671.39,215.42,9.73,20.91%,75.5,31.59%
dec2024,14C,Black Loop,1008,515.39,47.57,1.96,69.40%,21.19,110.18%
dec2024,15C,Tower Acres,9809,1677.95,213.11,5.85,40.53%,46.03,35.99%
dec2024,16C,Bronze Loop,1552,1656.13,182.45,0.94,n/a,8.51,n/a
dec2024,,,,5520.86,658.55,5.19,13.82%,43.48,21.89%
