route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
6B,87901baf-0994-499f-9975-63bb8fb0199c,fc20bb28-155c-4679-892f-4580d0f8eb4e,76f6f48e-6195-424d-9f43-c18c77e27a27,to Beck Ln,1,a0dadc47-5427-40ec-9626-53ca8bf9bb79
35E,b2de3b5a-bea7-481a-98a5-c62b1807beca,83b291af-8a52-4fbb-b8fe-52ec31cf1802,70814020-a9b7-44ef-a20e-fb5aff6b77a5,Village West/Cottage Apts to/from Purdue,0,1e69726c-17f2-48ab-9849-eb91d1a06e66
9,b2de3b5a-bea7-481a-98a5-c62b1807beca,f07918b1-e3b4-4963-befd-baf6f0a21d72,7afb54ae-31a1-4536-b273-c1a67b17e963,to Park East Blvd and IU Hospital,0,abb2fc41-8019-480b-bbed-eaab4304b8f6
1A,9b84fbdb-8987-48b3-b034-b765a4d36474,4f4f36a6-8950-44aa-a896-1700144dadac,f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,to CityBus Center,1,f8adfc8a-3f80-4f32-a1f9-db8e681bfa60
23,8412ba33-64c1-4466-b8ba-7a5056f942ea,654dbc94-69f2-45c7-8c59-ad7df7962c54,a793c083-222b-4293-9d4e-f7454bbd6855,to Lafayette and Riverwalk Apts and TCCC,0,9591f093-f36a-47b9-83a5-f032b160744b
6A,31a67940-5b0a-493e-b9e2-9b93b15ff59a,ef155b54-b01c-4976-b6ac-cd55d9f7af7f,cb61ff86-9f1a-46c0-9881-c76c0287240f,to CityBus Center,1,3ef01127-9ca9-47ec-896b-06c628112688
10,87901baf-0994-499f-9975-63bb8fb0199c,cd65a675-0d82-4e2f-bae4-86de400b43c4,56fdf086-7941-45a1-afb3-b928148109a2,to Shining Armor Ln,0,9a49b60b-fbd0-4ed7-baec-cb957de3fe36
4A,9b84fbdb-8987-48b3-b034-b765a4d36474,1b4b472a-5462-48d3-a66d-af03ef977b04,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,3e2b3dc4-ab91-451e-a418-7de785faa3fe
1A,8412ba33-64c1-4466-b8ba-7a5056f942ea,179bc2c3-3858-4b92-bfe1-6eb45b6f9688,f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,to CityBus Center,1,e359a2b1-7492-428a-8121-e1f2917a7d68
21E,b2de3b5a-bea7-481a-98a5-c62b1807beca,6bdf6334-167d-4757-8075-e8cb20361fe0,55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,Express to Lark & Alight Apts,0,4a20555b-2fba-499c-935e-718ff58fcb94
2A,9b84fbdb-8987-48b3-b034-b765a4d36474,e61fc75d-5ad5-48d5-a39c-9c84394d8b43,ae80f7da-68bb-4e11-82d9-4e434fd30733,to Schuyler Ave,1,d3673445-822c-4d0d-8da7-acced4b2b369
10,8412ba33-64c1-4466-b8ba-7a5056f942ea,76de6017-3331-4e5a-9537-d6b6eb19d33a,56fdf086-7941-45a1-afb3-b928148109a2,to Shining Armor Ln,0,de57a84d-2fe9-4ab9-b5cc-7b2585e7ecb4
35E,b2de3b5a-bea7-481a-98a5-c62b1807beca,fd39989a-30ee-469d-a831-b73578199dc2,70814020-a9b7-44ef-a20e-fb5aff6b77a5,Village West/Cottage Apts to/from Purdue,0,6b98cce4-9fb9-48b6-b9ce-75f46ee83964
3,31a67940-5b0a-493e-b9e2-9b93b15ff59a,691fb76c-e602-462f-ab21-fce1c29a9f09,7426c1e2-6b00-4c5f-8636-b34180893ecb,to CityBus Center,1,096c9d9f-14ca-49d1-8570-299660b36a29
2B,87901baf-0994-499f-9975-63bb8fb0199c,8c84cd97-75db-48b5-be7c-0e33fc996c83,8893a0f4-c34d-4fc9-a9fb-8e833fee37ca,to Union St & Underwood St,0,6ea25583-66c4-4a15-ac7c-d847817725b9
7,87901baf-0994-499f-9975-63bb8fb0199c,9eaafc57-6c6f-4110-b0ca-957776034a82,62c1143c-029a-4b43-9f4f-6d6f9c55bc76,to Walmart & Meijer,1,e90e6c04-20ec-4a35-821e-c8b974309e75
7,8412ba33-64c1-4466-b8ba-7a5056f942ea,c52f73e6-ae11-4fae-9c29-4026356c0359,77ef10ae-585a-4bc9-adff-fc125f0932d2,to CityBus Center,0,775444c6-2255-4585-b6b8-8d8e1bffef96
4A,87901baf-0994-499f-9975-63bb8fb0199c,40454753-577b-44a2-a7a0-509596bbb7c9,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,59665c18-2538-46d8-9f16-9964305fa8ae
4A,c3b47a3f-853b-4e8f-8f8f-36a78b536dce,58901d50-10d3-4275-ac5e-44aa687b231e,2722571e-4f1d-44f8-adbb-bbb7443b4f43,to CityBus Center,1,04e0bf66-8521-4d9d-988d-f705e6ba4750
2A,b2de3b5a-bea7-481a-98a5-c62b1807beca,6a5706e3-9462-4147-b833-67fddc5c4d99,f42d1f15-dd59-4025-b28f-99a130b2d962,to CityBus Center,0,8d56c026-2c7c-4552-b2b3-c7289fd47c84
6A,9b84fbdb-8987-48b3-b034-b765a4d36474,35b74905-6963-4a83-8388-456086a33106,cb61ff86-9f1a-46c0-9881-c76c0287240f,to CityBus Center,1,7001ac04-67ef-42b4-ae6e-615dc93da278
6A,31a67940-5b0a-493e-b9e2-9b93b15ff59a,4cc1fd51-3204-4ae7-8539-829cde2ed3ed,cb61ff86-9f1a-46c0-9881-c76c0287240f,to CityBus Center,1,3ef01127-9ca9-47ec-896b-06c628112688
23,8412ba33-64c1-4466-b8ba-7a5056f942ea,74d445f7-f2ed-4b99-a6d2-500fa5ef8246,a793c083-222b-4293-9d4e-f7454bbd6855,to Lafayette and Riverwalk Apts and TCCC,0,87344686-dcb7-4a55-8587-f3c46cd550ed
23,b2de3b5a-bea7-481a-98a5-c62b1807beca,a99a03ff-c622-4844-94f5-35841c690711,007b678c-d15d-4e6a-8928-cab840ddf344,to Wabash Landing & Purdue Campus,1,6e9621c8-ec81-4dcb-8cdb-76da0ca2dbc8
3,87901baf-0994-499f-9975-63bb8fb0199c,7faf0938-43f6-40de-bb9c-9aeec3ff3fb1,27d96cf3-940c-495a-ba0e-94d497c2f149,to CityBus Center,1,b593b59d-6e8f-4b62-bfa4-d23b20cc13da
8,c3b47a3f-853b-4e8f-8f8f-36a78b536dce,624e9694-968d-44ea-9713-e5142fb957b9,ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,to WL Walmart,1,b42bf592-da76-4c0b-8bed-8e7a6402e8f7
8,8412ba33-64c1-4466-b8ba-7a5056f942ea,39bda735-6d43-4669-ae5d-151e31b11641,ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,to WL Walmart,1,3abd4565-8a6f-47d1-986c-29d0c65b7757
1B,8412ba33-64c1-4466-b8ba-7a5056f942ea,66c35ef9-8ec7-40ec-916f-02e62425ad9b,fa1bfc2a-4aa5-4966-81d1-33a2a1ea14c6,to WL Walmart and Meijer,0,b452154a-e998-4d79-85c7-f902caee7f75
35E,b2de3b5a-bea7-481a-98a5-c62b1807beca,be31166d-b452-4ac6-bf33-c67947fe807b,70814020-a9b7-44ef-a20e-fb5aff6b77a5,Village West/Cottage Apts to/from Purdue,0,e417791c-0d50-41f2-9d32-5fcc1476ba8c
8,8412ba33-64c1-4466-b8ba-7a5056f942ea,23a2c32e-72ba-4bd9-b3b0-655f824575ac,ff80a8f5-2afb-449a-8e43-76f253357b41,to Klondike Rd and Rutherford Dr,0,3abd4565-8a6f-47d1-986c-29d0c65b7757
4A,87901baf-0994-499f-9975-63bb8fb0199c,ee9650d6-cd18-44d1-82fa-57e93d551651,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,713eb7dc-0206-40a1-8bc9-f5061ea2cbf9
